timestamp,gpu_index,gpu_name,gpu_utilization_pct,memory_used_MiB,memory_total_MiB
2026/03/14 00:01:43.566, 2, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:43.568, 3, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:46.778, 0, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:46.782, 1, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:46.784, 2, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:46.786, 3, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:49.992, 0, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:49.997, 1, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:49.999, 2, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:50.001, 3, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:53.221, 0, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:53.224, 1, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:53.227, 2, NVIDIA GH200 120GB, 0, 6885, 97871
2026/03/14 00:01:53.229, 3, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:01:56.447, 0, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:01:56.450, 1, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:01:56.453, 2, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:01:56.455, 3, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:01:59.679, 0, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:01:59.683, 1, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:01:59.685, 2, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:01:59.687, 3, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:02:02.897, 0, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:02:02.900, 1, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:02:02.903, 2, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:02:02.905, 3, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:02:06.110, 0, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:02:06.113, 1, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:02:06.118, 2, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:02:06.120, 3, NVIDIA GH200 120GB, 0, 6887, 97871
2026/03/14 00:02:09.357, 0, NVIDIA GH200 120GB, 1, 7143, 97871
2026/03/14 00:02:09.361, 1, NVIDIA GH200 120GB, 100, 7143, 97871
2026/03/14 00:02:09.364, 2, NVIDIA GH200 120GB, 92, 7143, 97871
2026/03/14 00:02:09.366, 3, NVIDIA GH200 120GB, 59, 7143, 97871
2026/03/14 00:02:12.600, 0, NVIDIA GH200 120GB, 4, 10115, 97871
2026/03/14 00:02:12.605, 1, NVIDIA GH200 120GB, 1, 11119, 97871
2026/03/14 00:02:12.608, 2, NVIDIA GH200 120GB, 2, 9613, 97871
2026/03/14 00:02:12.613, 3, NVIDIA GH200 120GB, 1, 11119, 97871
2026/03/14 00:02:15.826, 0, NVIDIA GH200 120GB, 0, 13631, 97871
2026/03/14 00:02:15.831, 1, NVIDIA GH200 120GB, 0, 13631, 97871
2026/03/14 00:02:15.834, 2, NVIDIA GH200 120GB, 0, 13631, 97871
2026/03/14 00:02:15.836, 3, NVIDIA GH200 120GB, 0, 13631, 97871
2026/03/14 00:02:19.058, 0, NVIDIA GH200 120GB, 0, 84763, 97871
2026/03/14 00:02:19.063, 1, NVIDIA GH200 120GB, 0, 84763, 97871
2026/03/14 00:02:19.066, 2, NVIDIA GH200 120GB, 0, 84763, 97871
2026/03/14 00:02:19.069, 3, NVIDIA GH200 120GB, 0, 84763, 97871
2026/03/14 00:02:22.302, 0, NVIDIA GH200 120GB, 1, 84885, 97871
2026/03/14 00:02:22.307, 1, NVIDIA GH200 120GB, 1, 84881, 97871
2026/03/14 00:02:22.310, 2, NVIDIA GH200 120GB, 1, 84883, 97871
2026/03/14 00:02:22.313, 3, NVIDIA GH200 120GB, 0, 84885, 97871
2026/03/14 00:02:25.530, 0, NVIDIA GH200 120GB, 3, 84983, 97871
2026/03/14 00:02:25.535, 1, NVIDIA GH200 120GB, 2, 84983, 97871
2026/03/14 00:02:25.538, 2, NVIDIA GH200 120GB, 1, 84983, 97871
2026/03/14 00:02:25.540, 3, NVIDIA GH200 120GB, 2, 84983, 97871
2026/03/14 00:02:28.762, 0, NVIDIA GH200 120GB, 0, 85035, 97871
2026/03/14 00:02:28.767, 1, NVIDIA GH200 120GB, 0, 85035, 97871
2026/03/14 00:02:28.770, 2, NVIDIA GH200 120GB, 0, 85033, 97871
2026/03/14 00:02:28.772, 3, NVIDIA GH200 120GB, 0, 85035, 97871
2026/03/14 00:02:31.989, 0, NVIDIA GH200 120GB, 2, 85107, 97871
2026/03/14 00:02:31.994, 1, NVIDIA GH200 120GB, 2, 85107, 97871
2026/03/14 00:02:31.997, 2, NVIDIA GH200 120GB, 1, 85129, 97871
2026/03/14 00:02:32.000, 3, NVIDIA GH200 120GB, 1, 85107, 97871
2026/03/14 00:02:35.242, 0, NVIDIA GH200 120GB, 0, 85183, 97871
2026/03/14 00:02:35.247, 1, NVIDIA GH200 120GB, 0, 85183, 97871
2026/03/14 00:02:35.250, 2, NVIDIA GH200 120GB, 0, 85175, 97871
2026/03/14 00:02:35.253, 3, NVIDIA GH200 120GB, 0, 85205, 97871
